198,198,198,198,198,198,198,198,198,198,198,193,198,198,198,193,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,196,193,198,198,198,198,198,203,198,198,198,193,198,198,198,198,198,198,198,198,193,198,198,198,198,198,198,203,198,198,198,198,193,193,198,198,198,198,193,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,193,198,203,198
203,203,203,203,203,203,203,203,203,203,203,198,203,203,203,198,207,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,198,198,203,203,203,203,203,207,203,203,203,198,203,203,203,203,203,203,203,203,198,203,203,203,203,203,203,207,203,203,203,203,198,198,203,203,203,203,198,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,198,203,207,207
207,221,207,207,207,207,207,207,207,207,207,203,207,207,207,203,221,221,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,203,203,207,207,207,207,207,221,207,207,207,203,207,207,207,207,207,207,207,207,203,207,207,207,207,207,207,221,207,207,207,207,203,203,207,207,207,207,203,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,203,207,221,221
221,255,221,221,221,221,221,221,221,221,221,207,255,221,221,207,255,255,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,207,207,221,221,221,221,221,255,221,221,221,207,221,221,221,221,221,221,221,221,207,221,221,221,221,221,221,255,221,221,221,221,207,207,221,221,221,221,207,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,207,221,255,255
255,266,255,255,255,255,255,255,255,255,255,221,272,255,255,221,272,266,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,221,221,255,255,255,255,255,272,255,255,255,221,255,255,255,255,255,255,255,255,221,255,255,255,255,255,255,272,255,255,255,255,221,221,255,255,255,255,221,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,221,255,272,272
272,272,289,272,272,272,272,272,272,272,272,255,289,272,272,255,289,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,270,272,272,272,270,272,255,255,272,272,272,272,272,289,272,272,272,255,289,270,272,272,272,272,272,272,255,272,272,272,272,272,272,289,272,272,272,272,255,255,266,272,272,272,255,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,255,272,289,289
289,289,328,289,289,289,289,289,289,289,289,272,328,289,289,272,328,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,272,289,289,289,272,289,272,272,289,289,289,289,289,328,289,289,289,272,328,272,289,289,289,289,289,289,272,289,289,289,289,289,289,328,289,289,289,289,272,272,272,289,289,289,272,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,272,289,328,328
328,328,329,328,328,328,328,328,328,328,328,289,329,328,328,289,329,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,289,328,328,328,289,328,289,289,328,328,328,328,328,329,328,328,328,289,329,289,328,328,328,328,328,328,289,328,328,328,328,328,328,329,328,328,328,328,289,289,289,328,328,328,289,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,301,328,289,328,329,329
329,329,356,329,329,329,329,329,329,329,329,328,356,329,329,328,360,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,328,329,329,329,328,329,328,328,329,329,329,329,329,360,329,329,329,328,360,328,329,329,329,329,329,329,328,329,329,329,329,329,329,356,329,329,329,329,328,328,328,329,329,329,328,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,328,329,328,329,360,356
356,356,360,356,356,360,356,356,360,360,360,329,360,360,356,329,378,360,360,356,360,356,356,356,360,356,356,360,356,356,360,356,360,329,360,360,360,329,360,329,329,360,360,356,360,356,378,356,356,356,329,378,329,356,360,360,360,360,360,329,360,356,356,360,360,356,360,360,360,360,356,329,329,329,356,356,360,329,356,356,360,360,356,360,360,360,360,360,360,360,360,360,356,356,329,360,329,356,378,360
360,360,378,360,360,378,360,360,378,378,378,360,378,378,360,356,412,378,378,360,378,360,360,360,378,360,360,378,360,360,378,360,378,356,378,378,378,356,378,356,356,378,378,360,378,360,412,360,360,360,360,412,360,360,378,378,378,378,378,360,378,360,360,378,378,360,378,378,378,378,360,356,356,356,360,360,378,356,360,360,378,378,360,378,378,378,378,412,378,378,378,378,360,360,360,378,360,360,412,378
