"val","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
8.98141194134951,"G3N8X9","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NX96","G3NXW0","G3P1D2","G3PIX9","G3PNK3","G3PPP6","G3PQL2","G3PVK9","G3PYU1","G3PZK8","G3Q163","G3Q2D6","G3Q972","G3QC15","Q804E3"
8.98080987855792,"G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NRG5","G3NX96","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3Q2Y3","G3Q3A5","G3Q3C4","G3QAJ2","G3QC15"
8.98079938441515,"G3N680","G3NBM8","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NX96","G3NXW0","G3NZE0","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PZK8","G3Q2D6","G3Q972","G3QC15","Q804E3"
8.9800141453743,"G3N680","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PNK3","G3PPP6","G3PPP7","G3PZH5","G3Q2D6","G3Q2Y3","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.97861557081342,"G3NCL3","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NRG5","G3NX96","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PPP7","G3PYU1","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
8.97766952216625,"G3N680","G3NBM8","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PH93","G3PNK3","G3PPP6","G3Q2D6","G3Q2Y3","G3Q972","G3QC15","Q804E3"
8.97319799661636,"G3N680","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PZH5","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.97296790033579,"G3NCL3","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NY15","G3P1D2","G3PCK3","G3PIX9","G3PPP6","G3PPP7","G3PQL2","G3PYU1","G3Q2D6","G3Q2Y3","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.97264299169183,"G3N680","G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NRG5","G3NX96","G3NY15","G3NY67","G3PCK3","G3PIX9","G3PPP6","G3PPP7","G3PYU1","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
8.97131824493408,"G3N680","G3NBM8","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PPP7","G3Q2D6","G3Q2Y3","G3Q972","G3QC15","Q804E3"
8.97129791602492,"G3NGT4","G3NIW2","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NRG5","G3NX96","G3NXW0","G3NY15","G3NY67","G3NZH1","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3Q2Y3","G3Q3C4","G3QC15"
8.97127932310104,"G3N680","G3NBM8","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PH93","G3PNK3","G3PPP6","G3Q2D6","G3Q2Y3","G3Q972","G3QAJ2","G3QC15"
8.97104609757662,"G3N680","G3NCL3","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NY15","G3P1D2","G3PCK3","G3PIX9","G3PPP6","G3PPP7","G3PQL2","G3PYU1","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.97022200375795,"G3N680","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PVK9","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.9696478433907,"G3N680","G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NY15","G3NY67","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PPP7","G3PYU1","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
8.96858640387654,"G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NRG5","G3NX96","G3NXW0","G3NY15","G3NY67","G3NZH1","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3Q2Y3","G3Q3A5","G3Q3C4","G3QC15"
