val,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
2.462798237800598,3,13,14,16,17,22,29,37,40,41,42,51,62,67,74,81,94,96,98,99
2.4620214700698853,2,3,12,17,18,19,20,21,22,26,34,42,51,63,66,70,74,80,83,94
2.461049050092697,2,16,17,20,21,22,26,29,36,37,46,49,51,63,70,74,80,82,85,94
2.461039274930954,2,3,11,12,16,17,19,20,21,26,31,36,42,43,51,59,70,74,90,94
2.459584027528763,2,3,6,12,14,16,17,19,20,21,36,40,41,42,43,51,57,59,94,99
2.456809341907501,3,9,13,16,17,18,19,20,21,22,26,29,34,36,51,63,70,74,80,83
2.4565446823835373,2,3,11,13,16,17,19,20,21,23,26,28,29,31,36,51,53,66,70,74
2.4565062820911407,3,20,21,26,28,29,32,36,37,39,46,51,58,69,70,74,75,80,83,85
2.456440359354019,3,11,13,16,17,20,21,22,29,37,41,51,66,70,74,77,78,80,83,86
2.4559401124715805,2,3,11,13,17,19,20,21,22,26,29,39,42,51,59,70,74,81,85,90
2.455428957939148,2,3,11,13,16,17,19,20,21,22,26,29,51,59,70,74,81,87,90,94
2.4527011662721634,2,3,12,16,17,19,20,21,22,26,29,42,51,59,70,74,80,81,90,94
2.452428460121155,2,3,7,12,17,18,19,20,21,22,26,42,45,51,70,74,80,83,85,94
2.4522340148687363,2,3,6,12,14,16,17,19,20,21,40,41,42,51,59,81,85,90,94,99
2.452131062746048,2,3,12,14,16,17,19,22,41,42,44,51,57,59,70,81,85,94,98,99
2.4520938396453857,3,13,14,16,17,22,29,40,41,42,51,62,67,74,81,83,94,96,98,99
2.452053964138031,1,2,3,12,16,17,19,20,21,22,36,41,42,44,51,59,70,85,94,95
2.451077491044998,3,13,14,16,22,26,29,37,40,41,42,48,51,54,62,74,77,81,94,98
2.4504227936267853,2,3,11,13,16,17,20,21,22,23,26,29,36,51,66,70,74,80,85,94
2.450151711702347,2,3,13,14,15,17,22,29,41,42,51,59,63,74,81,83,85,94,96,98
2.4500725269317627,2,13,17,19,20,21,22,24,26,29,32,36,42,46,51,57,59,70,85,94
2.449823811650276,1,2,3,9,14,16,17,19,20,21,36,39,40,41,42,43,44,51,59,94
2.4492949545383453,12,13,16,17,18,19,20,21,22,26,29,34,36,46,51,63,70,74,80,83
2.448714554309845,2,7,12,13,20,21,26,29,36,37,46,51,57,59,70,74,80,82,90,94
2.448704496026039,2,12,13,17,18,19,20,21,22,26,34,46,51,66,69,70,74,80,83,94
2.448418989777565,2,3,12,16,17,19,20,21,22,26,29,42,51,59,70,74,81,85,90,94
2.446640223264694,2,13,16,17,20,21,22,29,36,46,51,57,63,66,70,74,80,82,85,94
2.4463722109794617,3,13,14,16,17,20,21,22,29,37,40,41,51,62,67,74,77,81,94,98
2.44541634619236,1,2,3,14,16,17,19,20,21,34,36,39,40,41,42,43,51,57,59,94
2.4440364837646484,3,9,13,14,16,17,22,37,40,41,42,48,51,62,67,74,77,81,94,98
2.441970705986023,2,3,13,16,17,20,21,22,23,26,29,36,46,51,66,70,74,80,85,94
2.4417596459388733,2,3,11,13,17,20,21,22,23,26,42,51,59,70,74,81,85,89,90,94
2.4412626326084137,3,6,12,14,17,19,29,40,41,42,51,54,60,63,74,81,87,94,98,99
2.441194325685501,3,13,14,16,17,22,29,40,41,42,51,62,63,67,70,74,81,83,94,98
2.4410278499126434,3,13,14,16,17,22,26,29,40,41,42,51,62,63,67,74,81,83,94,98
2.4409920275211334,3,13,14,16,17,29,37,40,41,42,51,54,62,67,74,81,89,94,96,98
2.43881693482399,2,3,11,13,16,17,20,21,22,26,36,42,51,59,70,74,80,85,90,94
2.4387523978948593,2,13,17,18,19,20,21,22,26,29,34,36,42,46,51,63,66,70,74,94
2.4385060369968414,2,3,6,9,17,19,20,21,22,26,34,41,42,44,51,59,70,85,90,94
2.4384144842624664,3,11,16,17,20,21,22,26,27,29,41,51,66,70,74,77,80,83,86,91
