"val","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
8.27917817980051,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PP78","G3PQL2","G3PQX4","G3PSB5","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","G3QAJ2"
8.27907326817513,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PP08","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3QAJ2"
8.27685210108757,"G3N4W6","G3NDE4","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PP78","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","Q804E3"
8.27681621164083,"G3N4W6","G3NDE4","G3NJU3","G3NPV3","G3NRK0","G3NUA6","G3NYB9","G3P7N4","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q972","G3QAJ2"
8.27626457810402,"G3NDE4","G3NJU3","G3NPA2","G3NPV3","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q972","Q804E3"
8.27550662308931,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PP78","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q972","Q804E3"
8.27404716610909,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PM61","G3PP78","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q972","G3QAJ2"
8.27389724552631,"G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PPP6","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","Q804E3"
8.27322714775801,"G3N4W6","G3NDE4","G3NRK0","G3NUA6","G3NXQ8","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q393","G3Q972","Q804E3"
8.27306631207466,"G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P7N4","G3P920","G3PIX9","G3PKP7","G3PM61","G3PP62","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q972","G3QAJ2"
8.2724934630096,"G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PP08","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","G3QAJ2"
8.27233478426933,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q972","Q804E3"
8.27151493728161,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NS10","G3NUA6","G3NXQ8","G3NYB9","G3P920","G3PIX9","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q972","Q804E3"
8.27100729197264,"G3N4W6","G3NDE4","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P7N4","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q393","G3Q972","Q804E3"
8.27019830048084,"G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NXQ8","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q393","G3Q972","Q804E3"
8.26970525085926,"G3NDE4","G3NPA2","G3NPV3","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q972","G3QAJ2"
8.26911238580942,"G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NXT2","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","G3QAJ2"
8.268898665905,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NXQ8","G3NYB9","G3P920","G3PIX9","G3PM61","G3PP78","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q972","Q804E3"
8.26863782852888,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NXT2","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q972","G3QAJ2"
8.26846899837255,"G3N4W6","G3NDE4","G3NPV3","G3NRK0","G3NUA6","G3NYB9","G3P7N4","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q972","G3QAJ2"
8.26708217710257,"G3N4W6","G3NDE4","G3NRK0","G3NUA6","G3NYB9","G3P7N4","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q393","G3Q972","G3QAJ2"
8.26640554517508,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PM61","G3PP78","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","G3QAJ2"
8.26604217290878,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PP62","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q972","G3QAJ2"
8.26594999432564,"G3NDE4","G3NJU3","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PPP6","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q972","G3QAJ2"
8.26594490557909,"G3N4W6","G3NDE4","G3NPV3","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q3A5","G3Q972","G3QAJ2"
8.26507196575403,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NXQ8","G3NYB9","G3P920","G3PIX9","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","Q804E3"
8.26504110917449,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PP08","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q972","G3QAJ2"
8.26462375372648,"G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P7N4","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","G3QAJ2"
